,telefono,is_intercettato
0,+393479899812,N
1,+393493663356,S
2,+393245314269,N
3,+393280592192,N
4,+393467131193,N
5,+393804740675,N
6,+393903298150592,N
7,+393298150592,N
8,+393200884611,N
9,+393384444399,N
10,+393800128273,N
11,+393421220837,S
12,+393451279147,N
13,+390552334870,N
14,+39055906870,N
15,+393487931983,N
16,+393200958267,N
17,+393245650231,N
18,+393356195970,S
19,+393208564835,N
20,+393459679802,N
21,+393272011451,N
22,+393288042449,N
23,+390681100391,N
24,+393888123825,N
25,+397413713961915,N
26,+393713961915,N
27,+393206614269,N
28,+393801977658,N
29,+393333574156,N
30,+393428154295,N
31,+393808641956,N
32,+393247459135,N
33,+393247475726,N
34,+393484000747,N
35,+393205812499,N
36,+393273107637,N
37,+393903357810988,N
38,+393357810988,N
39,+393886446438,N
40,+393206161161,N
41,+393406735501,N
42,+393287492930,N
43,+393400935464,N
44,+393938568174,N
45,+393800107637,N
46,+393800107622,N
47,+393281615734,N
48,+393381693830,N
49,+393205866656,N
50,+393299884144,N
51,+393275562859,N
52,+393903884283061,N
53,+3903321647086,N
54,+393272230051,N
55,+393802061667,N
56,+393200547165,N
57,+393807526820,N
58,+393203517116,N
59,+393381646638,N
60,+393272833785,N
61,+393393939802,N
62,+393205889886,N
63,+393492770096,N
64,+393800130322,N
65,+393924818206,N
66,+393533945781,S
67,+393279574940,N
68,+393294730689,S
69,+393483836879,S
70,+393404996642,N
71,+393240813006,N
72,+393463255553,N
73,+393338777606,N
74,+3938020256+,N
75,+390287232675,N
76,+393278665528,N
77,+393886907034,N
78,+393274799086,N
79,+390964991124,N
80,+393400013753,N
81,+393484037981,N
82,+390583228847,N
83,+393925926698,N
84,+393318031726,N
85,+393285550878,N
86,+393246009959,N
87,+393391480076,N
88,+39057272446,N
89,+39057271349,N
90,+39057278805,N
91,+390572913033,N
92,+39057251827,N
93,+390572950465,N
94,+393288234295,N
95,+393456059655,N
96,+393278794578,N
97,+393319275227,N
98,+390572411450,N
99,+393771314226,N
100,+393496605327,N
101,+393317545072,N
102,+393272810977,N
103,+393207778304,N
104,+393332043480,N
105,+393343584765,N
106,+393285916942,N
107,+393270935977,N
108,+393291972698,N
109,+393273340364,N
110,+39096220661,N
111,+393282491510,N
112,+393453305563,N
113,+393396627454,N
114,+39055333333,N
115,+393923733183,N
116,+393248082305,N
117,+394242,N
118,+393512164010,N
119,+39155,N
120,+355698749899,N
121,+390572460001,N
122,+393496026603,N
123,+39057232210,N
124,+390550351685,N
125,+390572636839,N
126,+393889331189,N
127,+393376766+,N
128,+390573351103,N
129,+390574548911,N
130,+390557949363,N
131,+390557947605,N
132,+390574807675,N
133,+393905550975,N
134,+39055244813,N
135,+393485924551,N
136,+393275314552,N
137,+390555097711,N
138,+390572636427,N
139,+393208248079,N
140,+3901155889+,N
141,+390572767130,N
142,+393339930548,N
143,+393332368752,N
144,+393200814435,N
145,+393896494440,N
146,+390805800200,N
147,+393442761790,N
148,+393472426046,N
149,+390558803000,N
150,+39800915904,N
151,+393286645645,N
152,+393382589388,N
153,+34654520149,N
154,+39096225711,N
155,+39096220355,N
156,+393402436839,N
157,+393478675695,N
158,+393332326888,N
159,+39330963742,N
160,+390572635060,N
161,+393383807160,N
162,+393807785495,N
163,+390572636630,N
164,+393319107913,N
165,+390572911611,N
166,+39055575985,N
167,+39058325984,N
168,+39058320844,N
169,+390583229444,N
170,+39057230360,N
171,+393277576788,N
172,+393905724601,N
173,+390299207317,N
174,+393498305130,N
175,+393921679668,N
176,+390559526561,N
177,+393883075088,N
178,+390572910091,N
179,+393201732819,N
180,+390572460044,N
181,+39800822056,N
182,+390572957411,N
183,+390572930548,N
184,+390809672116,N
185,+393290257781,N
186,+390808647417,N
187,+390692959388,N
188,+390552347681,N
189,+390572444140,N
190,+390572957424,N
191,+39057271114,N
192,+390572636161,N
193,+390572460841,N
194,+390572460844,N
195,+390572494429,N
196,+390572634445,N
197,+390572911838,N
198,+39800308980,N
199,+390558986021,N
200,+39050577672,N
201,+390564726561,N
202,+393333127825,N
203,+390572090488,N
204,+390572634291,N
205,+390572910480,N
206,+390964381325,N
207,+390572460342,N
208,+39096289204,N
209,+390572766520,N
210,+393396557747,N
211,+3905572651+,N
212,+393357893673,N
213,+3901119116168,N
214,+390681153844,N
215,+390583216528,N
216,+390572460245,N
217,+393496617660,N
218,+390572773032,N
219,+390289731899,N
220,+390572930448,N
221,+390555662947,N
222,+3905556629+,N
223,+390572773092,N
224,+390583297713,N
225,+393382835767,N
226,+3905724601,N
227,+393890277044,N
228,+393533004077,S
229,+393203492716,N
230,+393889043026,N
231,+393202255640,N
232,+393484605454,N
233,+393348353665,N
234,+393273553133,N
235,+393338719672,N
236,+393276633007,N
237,+393923024871,N
238,+393807992192,N
239,+393911256513,N
240,+393295994085,N
241,+393200507755,N
242,+393204888784,N
243,+393893147158,N
244,+393491030289,N
245,+393299339579,N
246,+393296250330,N
247,+393889272826,N
248,+393895604699,N
249,+393934447186,N
250,+393662282331,N
251,+393274024149,N
252,+393298844463,N
253,+393298476762,N
254,+393202570399,N
255,+393482866569,N
256,+393282018827,N
257,+393885820110,N
258,+393290984777,N
259,+393277669726,N
260,+393356502993,N
261,+393270408001,N
262,+393292228530,N
263,+393510897847,N
264,+393272189768,N
265,+393896252328,N
266,+393893453630,N
267,+393281682758,N
268,+393896193457,N
269,+393771032302,N
270,+393388400844,N
271,+393297238351,N
272,+393400599457,N
273,+393394417473,N
274,+393891498534,N
275,+393397671536,N
276,+393889508997,N
277,+393284561539,N
278,+393281595028,N
279,+393496836601,N
280,+393937772860,N
281,+393273619042,N
282,+393395967738,N
283,+393388535261,N
284,+393925179507,N
285,+393896653274,N
286,+393398143892,N
287,+393937366661,N
288,+393478374354,N
289,+393917909205,N
290,+393427129096,N
291,+393441654072,N
292,+393299655042,N
293,+393280884220,N
294,+393293032281,N
295,+393203137847,N
296,+393939692414,N
297,+393476005799,N
298,+393281925137,N
299,+393894965756,N
300,+393891066311,N
301,+393207887517,N
302,+393276615293,N
303,+393665070215,N
304,+393920498149,N
305,+393801238710,N
306,+393473858812,N
307,+393887469214,N
308,+393209589139,N
309,+393297249630,N
310,+393287329492,N
311,+393803880768,N
312,+393802394482,N
313,+393206324235,N
314,+393356020573,N
315,+393393034080,N
316,+393926006830,N
317,+393402397919,N
318,+3932846656+,N
319,+393275345795,N
320,+393240472920,N
321,+393205520925,N
322,+393932478702,N
323,+393292121208,N
324,+393478003416,N
325,+393895268937,N
326,+393913398449,N
327,+393511258754,N
328,+393291659227,N
329,+393450484952,N
330,+393209169596,N
331,+393490609897,N
332,+3932040608+,N
333,+393920223971,N
334,+393278349941,N
335,+393209466749,N
336,+393290024428,N
337,+393337027743,N
338,+393282558148,N
339,+393395022917,N
340,+393886341424,N
341,+393387696531,N
342,+393202264371,N
343,+393207521043,N
344,+393892698563,N
345,+393925397141,N
346,+393276109486,N
347,+393204222465,N
348,+393288456253,N
349,+393271510101,N
350,+393293924462,N
351,+393209715352,N
352,+393397220715,N
353,+393284099680,N
354,+393668230449,N
355,+393282753895,N
356,+393495430196,N
357,+393663727037,N
358,+393351633431,N
359,+393393218340,N
360,+393282172483,N
361,+393293560009,N
362,+393914673250,N
363,+393288007065,N
364,+393202882670,N
365,+393285386679,N
366,+393345681568,N
367,+393270416723,N
368,+393662822340,N
369,+393277197507,N
370,+393347756074,N
371,+393888745766,N
372,+393458215399,N
373,+393201104429,N
374,+393886538992,N
375,+393279404725,N
376,+393884612580,N
377,+393275650319,N
378,+393921646476,N
379,+393895790615,N
380,+393891790155,N
381,+393272450788,N
382,+393273904831,N
383,+393295652743,N
384,+393806369505,N
385,+393205794626,N
386,+393285931763,N
387,+393288377792,N
388,+393207448882,N
389,+393925287344,N
390,+393927714231,N
391,+393279904144,N
392,+393892916904,N
393,+393891908258,N
394,+393280804843,N
395,+393891783978,N
396,+3938918278+,N
397,+393882596234,N
398,+393492682285,N
399,+393883407910,N
400,+393897824898,N
401,+393408740063,N
402,+393294790772,N
403,+393292649182,N
404,+393387052983,N
405,+393282572276,N
406,+393441296674,N
407,+393277315284,N
408,+393272803375,N
409,+393288458070,N
410,+393801594466,N
411,+393667029985,N
412,+393278121407,N
413,+393296466936,N
414,+393246860167,N
415,+393476100708,N
416,+393206071076,N
417,+393408589782,N
418,+393881008919,N
419,+393271419476,N
420,+393249869521,N
421,+393286658802,N
422,+393885676538,N
423,+393512383438,N
424,+393420925135,N
425,+393510962196,N
426,+393248740111,N
427,+393482636150,N
428,+393884605372,N
429,+393882507103,N
430,+393457148093,N
431,+393890685212,N
432,+393283183701,N
433,+393938991790,N
434,+393891743763,N
435,+393245845730,N
436,+393491278635,N
437,+393294691931,N
438,+393277760965,N
439,+393889575705,N
440,+393207249984,N
441,+393884076216,N
442,+393663521485,N
443,+393925797526,N
444,+393287206888,N
445,+393421906634,N
446,+393284719538,N
447,+393891324277,N
448,+393476103149,N
449,+393204182861,N
450,+393421655108,N
451,+393883872324,N
452,+393388589805,N
453,+393804742207,N
454,+393247940118,N
455,+393458173103,N
456,+393202726389,N
457,+393880764225,N
458,+393313174562,N
459,+393246882389,N
460,+393202133755,N
461,+393495860061,N
462,+393806454552,N
463,+393206497449,N
464,+393899590736,N
465,+393917502516,N
466,+393895617672,N
467,+393891992208,N
468,+393288522703,N
469,+393471315763,N
470,+393895104503,N
